iter	Passed	Remaining
808	12537	2960
809	12549	2943
810	12563	2927
811	12577	2912
812	12590	2895
813	12607	2880
814	12622	2865
815	12637	2849
816	12651	2833
817	12664	2817
818	12679	2802
819	12694	2786
820	12708	2770
821	12721	2754
822	12736	2739
823	12750	2723
824	12762	2707
825	12776	2691
826	12789	2675
827	12804	2659
828	12820	2644
829	12835	2628
830	12849	2613
831	12865	2597
832	12878	2581
833	12892	2566
834	12907	2550
835	12922	2535
836	12937	2519
837	12951	2503
838	12966	2488
839	12981	2472
840	12996	2457
841	13010	2441
842	13025	2425
843	13041	2410
844	13055	2394
845	13070	2379
846	13084	2363
847	13097	2347
848	13113	2332
849	13128	2316
850	13144	2301
851	13158	2285
852	13172	2270
853	13186	2254
854	13201	2238
855	13216	2223
856	13229	2207
857	13242	2191
858	13260	2176
859	13273	2160
860	13285	2144
861	13299	2129
862	13310	2113
863	13326	2097
864	13339	2081
865	13353	2066
866	13366	2050
867	13380	2034
868	13392	2018
869	13407	2003
870	13421	1987
871	13434	1972
872	13448	1956
873	13462	1940
874	13474	1924
875	13488	1909
876	13500	1893
877	13516	1878
878	13529	1862
879	13542	1846
880	13555	1830
881	13568	1815
882	13580	1799
883	13593	1783
884	13606	1768
885	13620	1752
886	13633	1736
887	13646	1721
888	13660	1705
889	13675	1690
890	13688	1674
891	13701	1658
892	13714	1643
893	13728	1627
894	13741	1612
895	13753	1596
896	13767	1580
897	13781	1565
898	13794	1549
899	13810	1534
900	13824	1519
901	13837	1503
902	13850	1487
903	13863	1472
904	13875	1456
905	13889	1441
906	13901	1425
907	13915	1409
908	13929	1394
909	13942	1378
910	13956	1363
911	13970	1348
912	13983	1332
913	13997	1317
914	14010	1301
915	14023	1285
916	14038	1270
917	14050	1255
918	14064	1239
919	14078	1224
920	14089	1208
921	14102	1193
922	14115	1177
923	14128	1162
924	14141	1146
925	14154	1131
926	14167	1115
927	14180	1100
928	14194	1084
929	14208	1069
930	14223	1054
931	14236	1038
932	14249	1023
933	14262	1007
934	14275	992
935	14289	977
936	14343	964
937	14370	949
938	14383	934
939	14398	919
940	14412	903
941	14425	888
942	14439	872
943	14453	857
944	14467	842
945	14481	826
946	14494	811
947	14507	795
948	14520	780
949	14534	764
950	14547	749
951	14560	734
952	14572	718
953	14586	703
954	14600	687
955	14613	672
956	14627	657
957	14641	641
958	14654	626
959	14668	611
960	14682	595
961	14695	580
962	14710	565
963	14724	549
964	14738	534
965	14754	519
966	14768	503
967	14781	488
968	14794	473
969	14807	457
970	14821	442
971	14834	427
972	14848	412
973	14862	396
974	14877	381
975	14890	366
976	14903	350
977	14917	335
978	14931	320
979	14944	304
980	14959	289
981	14973	274
982	14986	259
983	14999	243
984	15012	228
985	15026	213
986	15040	198
987	15054	182
988	15067	167
989	15082	152
990	15096	137
991	15108	121
992	15122	106
993	15136	91
994	15149	76
995	15165	60
996	15178	45
997	15192	30
998	15207	15
999	15221	0
